time,lsh_time,graph_time,merge_time,n_bucket_content,n_node_access,n_dist_calc,n_hop,dist_from_start,recall
601,0,0,7,0,0,42,12,378949.000000,1.000000
112,0,0,6,0,0,53,11,372753.000000,1.000000
79,0,0,5,0,0,48,11,160257.000000,1.000000
125,0,0,6,0,0,59,12,429605.000000,1.000000
101,0,0,5,0,0,56,12,165688.000000,1.000000
119,0,0,6,0,0,60,13,413634.000000,1.000000
94,0,0,6,0,0,54,11,343465.000000,1.000000
122,0,0,5,0,0,46,11,403929.000000,1.000000
101,0,0,5,0,0,63,12,415879.000000,1.000000
105,0,0,5,0,0,60,11,127407.000000,1.000000
